Project Number,Project Name,Investment Category,Accounting Classification,Funding Business Unit,Asset Type
P00001,Billing Refunds,Customer Commitment,Capital Expense,Customer Operations,Resources
P00002,Reliability,Customer Commitment,Capital Expense,Technology,Resources
P00003,New Mobile Features,Mobile Roadmap,Capital Expense,Product,Resources
P00004,Buyflow Enhancements,Buyflow,Capital Expense,Sales & Marketing,Resources
P00005,Spectrum News Application Features,News & Sports,Capital Expense,Spectrum Networks,Resources
P00006,AI Chatbot Integration,IVR Enhancements,Capital Expense,Technology,Resources
P00007,AI Chatbot Implementation,IVR Enhancements,Capital Expense,Customer Operations,Resources
P00008,Customer Billing Features,Self-Service - Platform,Capital Expense,Technology,Resources
P00009,3rd Party Application Integration,Seamless Entertainment,Capital Expense,Product,Resources
P00010,WiFi Connectivity Experiences,Customer Commitment,Capital Expense,Product,Resources
P00011,Sports Net - New Application Build,News & Sports,Capital Expense,Spectrum Networks,Resources
P00012,Customer Two Factor Authorization,Security,Capital Expense,Technology,Resources
P00013,Customer Journey Integration,Agent Tools,Capital Expense,Technology,Resources
P00014,CPE Enhancements & Testing,Network Upgrades,Capital Expense,Technology,Resources
P00015,Paid Time Off,General Operating Expense,Operating Expense,Technology,Resources
P00016,App/System Maintenance,Platform Maintenance,Operating Expense,Technology,Resources
P00017,Meetings,General Operating Expense,Operating Expense,Technology,Resources
P00018,Support,General Operating Expense,Operating Expense,Technology,Resources
P00019,Bug & Defect Fixes,Platform Maintenance,Operating Expense,Technology,Resources
P00020,Other,General Operating Expense,Operating Expense,Technology,Resources
